Developer;Název projektu;Odkaz na web;Počet jednotek
Penta Real Estate;Nová Waltrovka - H;https://www.etapah.novawaltrovka.cz;38
MP Kolbenka;Lofty Kolbenova;https://www.loftykolbenova.cz;215
CENTRAL GROUP;Rezidence Radlické výhledy;;56
PSN;Pod Drinopolem;https://psn.cz;24
Hostivařská developerská;Bydlení Pražská;;27
Dolfin Homes;Londýnská;https://www.londonhouse.cz;30
Vila LUKA;Vila Luka;;6
Landia Management;RD Broumarská;https://broumarska.cz;12
JRD Development;Císařská vinice;;72
CENTRAL GROUP;Viladomy Střížkov 2.etapa;;48
Heřmanova 61;Byty Návršní;;3
Byty Perštejnská;Byty Perštejnská;;7
Pernštejnská;Pernštejnská;;7
FINEP CZ;Harfa Park XI;https://www.finep.cz;81
KAMILLE DEVELOPMENT;Bytový dům U Botiče;https://www.bytybotic.cz;11
SATPO;Rezidence Laurová;https://www.satpo.cz;123
BVK;Dům pod Vyšehradem;;14
Hausmannova development;Hausmannka;https://www.hausmannka.cz;10
FINEP CZ;Rezidence U Šárky X;https://www.finep.cz;26
Pitkovický dvůr;Pitkovický dvůr C;https://www.pitkovickydvur.cz;10
Nová Písnice;Nová Písnice;;33
Pražský Barrandov;Rezidence Pod Třešňemi;;3
VESSAN;Duo Hlubočepy;;68
Doma je Doma;Evergreen+;;23
SATPO management;Rezidence Escape;https://www.satpo.cz;250
RS Real Estate;Villa Vintage;https://www.villavintage.cz;27
FINEP CZ;Malý háj XV;https://www.finep.cz;67
ACORD Invest;Věčná Ječná;https://www.vecna-jecna.cz;1
EBM Group;Krčská zahrada;https://www.ebmgroup.cz;30
Glosalia;Malátova 7;;15
Lukris;Vila Domy Stodůlky;;2
Rezidence Bělohorská 277;Rezidence via Carolina;;10
Red Group;Remízek Radlice;https://www.remizekradlice.cz;44
Pražské Rezidence;Rezidence Přemyslovská 24;;19
Real Luxemburg;Rezidence Gutovka;https://www.rezidence-gutovka.cz;26
RINT správa nemovitostí;Perla Limuzská;;13
PELA Invest;Byty Karlín Lofts;https://www.karlinlofts.cz;4
YIT CZ;Toivo Roztyly 1;https://www.yit.cz;88
NIDO Group;Villa Organic;;14
SFG Development;Rezidence architekta Petráka;https://www.luxent.cz;9
CRESTYL real estate;Hagibor II;https://www.hagibor.cz;115
RODOP;Rezidence golf Hostivař;https://www.rezidencegolfhostivar.cz;23
Geosan Development;Rezidence Radimova;;101
Pierwood Capital;Arbor Hlubočepy;;13
EBM Group;Erbenova rezidence;;23
CRESTYL real estate;Semerínka;https://www.semerinka.cz;185
Penta Real Estate;Mocca Rezidence;https://cms.realpad.eu;271
CENTRAL GROUP;Harfa Living - D;;57
BEMETT;Viladomy Čimický háj C2;https://www.premiovebydleni.cz;18
Vivere Real Estate;Ecovilla Uhříněves;https://www.ecovilla.cz;26
UBM Development Czechia;Timber Praha;https://www.arcus-city.cz;48
Cresco Real Estate;So-Ho rezidence 1.etapa;https://www.so-ho.cz;147
Gaudí Development;Harmonia;https://www.gaudi.cz;68
ED Group;Rezidence u Černého koně;;58
BEMETT;Viladomy Čimický háj C1;https://www.premiovebydleni.cz;18
Boutiq Development;Viladomy Dunovského;https://www.boutiq.cz;20
Star Group;Proxima Chabry;https://www.proximachabry.cz;137
FINEP CZ;Byty Britská čtvrť XVII;https://www.finep.cz;98
CENTRAL GROUP;Bohdalecké zahrady;https://central-group.cz;104
Metrostav Development;Viladomy U Mlýna;;42
Pražské Rezidence;Residence u Kanálky 7;;15
CANABA Development;Rezidence Dubeč;;23
GoldenScreen;Rezidence Nový Suchdol;https://rezidence-novysuchdol.cz;15
Top Estates Group;Barrandez-vous II;;48
YIT CZ;Toivo Roztyly 2;https://www.yit.cz;116
VERSITY DEVELOPMENT;Rezidence Stehlíkova;https://www.rezidencestehlikova.com;6
Skanska Residential;D.O.K. Radlice;https://residential.skanska.cz;144
Millennium Palace;Millennium Palace;https://www.millenniumpalace.cz;16
SD Zbraslav;Pod Belvederem Zbraslav;;36
Fetters;Panorama Braník;https://www.panoramabranik.cz;77
Vila U Kola;Šlikova 16;https://www.slikova16.cz;10
BD Sokolovská 454/126, družstvo;Sokolovská 126;;5
DEGROUP;Byty nad jezerem;;86
Park Klamovka;Klamovka Park;;31
Metrostav Development;Byty na Vackově - etapa E;https://byty.navackove.cz;58
Neocity;Simply Prosek;;88
CPI Property Group;Kolbenova park - B;;214
BEMETT;Viladomy Čimický háj B1;https://www.premiovebydleni.cz;20
Rezidence Akademická;Rezidence Akademická;;11
Horizon Holding;Rezidence Blízká DEF;;93
FINEP CZ;Nový Opatov III;https://www.finep.cz;69
Ekoenergdevelopment;Green Chodov;https://www.greenchodov.cz;46
Donova;S7AROKOŠÍŘSKÁ;https://starokosirska.cz;43
BEMETT;Rezidence Radlická vyhlídka;;38
Rezidence Švehlova;Harmony Hostivař;http://www.harmonyhostivar.cz;20
RS Real Estate;Rezidence V2;;57
Neocity / Daramis;Connect Vršovice;;192
Biskupcova 27;Biskupcova 27;;10
Daramis;Prague Marina;https://www.praguemarina.cz;151
FINEP CZ;Nový Opatov II;https://www.finep.cz;65
Nad Kesnerkou;Bytový dům Nad Kesnerkou;;12
CPI Property Group;Žižkovské Zahrady;https://www.zizkovskezahrady.cz;203
EKOSPOL;Ekorezidence Smíchov;;60
CRONESTA DEVELOPMENT;Kolben Gate - Ampér;https://www.kolbengate.cz;63
YIT CZ;RANTA Barrandov IV;https://www.yit.cz;29
Penta Real Estate;Nová Waltrovka F5F6;https://novawaltrovka.cz;60
Hřebenky;Hřebenky;https://www.hrebenky.lexxusnorton.cz;2
PSN;Rezidence Maroldka;https://psn.cz;38
Horizon Holding;Rezidence Blízká ABC;;134
VITKOVIA CENTRUM;Vitkovia Park;https://vitkoviapark.cz;12
CIMEX;M-House;https://www.m-house.cz;63
Dům Holubí;Solis Residence;;25
Penta Real Estate;Žižkov 3.0;https://cms.realpad.eu;94
Dům Kováků 2;U Kováků 2;https://www.kovaku2.cz;14
CS Developia;Michelské údolí 1.etapa;https://www.michelskeudoli.cz;16
UBM Development Czechia;Astrid Garden;;138
ACORD Invest;Residence Fénix;;48
PSN;Backyard Dejvice;https://backyarddejvice.cz;29
CREDITAS Real Estate Management;Rezidence Newton;https://www.creditasre.cz;21
Fyzická osoba;Bartoškova²;;4
Penta Real Estate;Nová Waltrovka F3F4;https://novawaltrovka.cz;58
MS Invest;Rezidence Pod Kotlářkou;https://rezidencepodkotlarkou.cz;80
Geosan Development;Re.Start Petynka;;201
Penta Real Estate;Rezidence Juliska;;79
ACORD Invest;Angelo Roma;;19
CTR Viktoria Center;Viktoria center;;180
Gartal;City Lofts Chodov;https://gartal.cz;111
ACORD Invest;Modera Palace;https://www.moderapalace.cz;52
Broker Consulting;Půdní byty metro Palmovka;;9
PSN;Bydlení na Výšinách;;18
